Reboilers,,,,
0,Vapour Fraction,350208,350208.Vapour Fraction,
50,Temperature,350208,350208.Temperature,
1.013249966,Pressure,350208,350208.Pressure,
541819.1198,Molar Flow,350208,350208.Molar Flow,
9760925.885,Mass Flow,350208,350208.Mass Flow,
1,Phase Comp Mole Frac,350208,350208.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350208,350208.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350208,350208.Phase Comp Mole Frac.Vapour Phase.H2O,
350207,Object Name,350207,350207.Object Name,
0,Vapour Fraction,350207,350207.Vapour Fraction,
30,Temperature,350207,350207.Temperature,
1.35798792,Pressure,350207,350207.Pressure,
541819.1198,Molar Flow,350207,350207.Molar Flow,
9760925.885,Mass Flow,350207,350207.Mass Flow,
1,Phase Comp Mole Frac,350207,350207.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350207,350207.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350207,350207.Phase Comp Mole Frac.Vapour Phase.H2O,
350206,Object Name,350206,350206.Object Name,
0,Vapour Fraction,350206,350206.Vapour Fraction,
40,Temperature,350206,350206.Temperature,
1.013249966,Pressure,350206,350206.Pressure,
140438.6385,Molar Flow,350206,350206.Molar Flow,
2530016.184,Mass Flow,350206,350206.Mass Flow,
1,Phase Comp Mole Frac,350206,350206.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350206,350206.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350206,350206.Phase Comp Mole Frac.Vapour Phase.H2O,
350205,Object Name,350205,350205.Object Name,
0,Vapour Fraction,350205,350205.Vapour Fraction,
30,Temperature,350205,350205.Temperature,
1.35798792,Pressure,350205,350205.Pressure,
140438.6385,Molar Flow,350205,350205.Molar Flow,
2530016.184,Mass Flow,350205,350205.Mass Flow,
1,Phase Comp Mole Frac,350205,350205.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350205,350205.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350205,350205.Phase Comp Mole Frac.Vapour Phase.H2O,
350204,Object Name,350204,350204.Object Name,
0,Vapour Fraction,350204,350204.Vapour Fraction,
40,Temperature,350204,350204.Temperature,
1.013249966,Pressure,350204,350204.Pressure,
23364.52753,Molar Flow,350204,350204.Molar Flow,
420914.3111,Mass Flow,350204,350204.Mass Flow,
1,Phase Comp Mole Frac,350204,350204.Phase Comp Mole Frac.Aqueous Phase.H2O,
,Phase Comp Mole Frac,350204,350204.Phase Comp Mole Frac.Liquid Phase.H2O,
,Phase Comp Mole Frac,350204,350204.Phase Comp Mole Frac.Vapour Phase.H2O,
350203,Object Name,350203,350203.Object Name,
0,Vapour Fraction,350203,350203.Vapour Fraction,
30,Temperature,350203,350203.Temperature,
1.35798792,Pressure,350203,350203.Pressure,
