snap,x,y,h,v,T,r,NOx,NOVOC,CO,SO2,NH3,PM2.5,PM10
4,559061,5929936,38,12.4,11,0.298541066,-999,-999,-999,-999,-999,5.27,18.4
4,559061,5929936,38,12.4,11,0.298541066,-999,-999,-999,-999,-999,5.27,18.4
4,559061,5929936,38,12.4,11,0.298541066,-999,-999,-999,-999,-999,5.27,18.4
4,559061,5929936,38,12.4,11,0.298541066,-999,-999,-999,-999,-999,5.27,18.4
4,559061,5929936,38,12.4,11,0.298541066,-999,-999,-999,-999,-999,5.27,18.4
4,559051,5929931,38,14.4,17,0.298541066,-999,-999,-999,-999,-999,71.8,102
4,567153,5942081,47,13.2,24,0.298541066,-999,-999,-999,-999,-999,0.00546,0.0191
4,564282,5928592,16,15.3,11,0.300136132,-999,-999,-999,-999,-999,58.5,82.9
4,562671,5930432,20,20.3,40,0.300136132,-999,-999,-999,-999,-999,187,265
4,564334,5928578,21,15.3,11,0.300136132,-999,-999,-999,-999,-999,8.28,11.7
4,564312,5928615,40,15.3,11,0.300136132,-999,-999,-999,-999,-999,78.1,111
4,564310,5928618,40,15.3,11,0.300136132,-999,-999,-999,-999,-999,78.1,111
4,564457,5928566,40,59.5,11,0.300136132,-999,-999,-999,-999,-999,139,257
4,562632,5930400,45,14.6,40,0.300136132,-999,-999,-999,-999,-999,0.0588,0.0833
4,564297,5928631,52,15.3,11,0.300136132,-999,-999,-999,-999,-999,58.5,82.9
4,565278,5927597,10.5,40.7,20,0.309019362,-999,-999,-999,-999,-999,148,209
4,559066,5929946,6,7.11,17,0.314127466,-999,-999,-999,-999,-999,72.7,103
4,559356,5929397,16,16.7,6,0.314127466,-999,-999,-999,-999,-999,501,710
4,572587,5932115,17,7.21,20,0.314127466,-999,-999,-999,-999,-999,151,271
4,559006,5929816,18,16,20,0.314127466,-999,-999,-999,-999,-999,30.2,42.8
4,559071,5929936,38,4.53,32,0.314127466,-999,-999,-999,-999,-999,275,389
4,564473,5931569,11,-999,-999,0.315139151,-999,-999,-999,-999,-999,1.293,4.52
4,565207,5941615,20.7,6.75,22,0.319153824,-999,-999,-999,-999,-999,0.965,1.37
4,565187,5941617,20.7,9.16,22,0.319153824,-999,-999,-999,-999,-999,5.11,7.24
4,565403,5930910,12,4.8,20,0.325082885,-999,-999,-999,-999,-999,29.9,33.4
4,564697,5928378,26,77,11,0.3255721,-999,-999,-999,-999,-999,78.7,112
4,561500,5935699,10,2.56,20,0.333779059,-999,-999,-999,-999,-999,5,17.5
4,562747,5930393,17,24.6,40,0.333779059,-999,-999,-999,-999,-999,2807,3977
4,559014,5929422,6,18.5,25,0.33851375,-999,-999,-999,-999,-999,4.63,16.2
4,564266,5928630,29,11.3,11,0.349615498,-999,-999,-999,-999,-999,234,332
4,560128,5938982,4,7.45,20,0.356824823,-999,-999,-999,-999,-999,5.13,7.27
4,560151,5938998,6,7.45,20,0.356824823,-999,-999,-999,-999,-999,12,17
4,560145,5939002,6,7.45,20,0.356824823,-999,-999,-999,-999,-999,12,17
4,561965,5929801,20,0.626,20,0.356824823,-999,-999,-999,-999,-999,0.0875,0.124
4,562737,5930363,40,13.3,20,0.356824823,-999,-999,-999,-999,-999,931,1318
4,559156,5929931,38,3.64,17,0.369963851,-999,-999,-999,-999,-999,57.5,81.5
4,559061,5929931,38,11.8,18.9,0.369963851,-999,-999,-999,-999,-999,508,720
4,564187,5929303,4,8.33,11,0.378890167,-999,-999,-999,-999,-999,468,663
4,565539,5941922,34,15.8,180,0.39088201,-999,-999,-999,53.4,-999,-999,-999
4,564209,5929272,3,0.971,11,0.39894228,-999,-999,-999,-999,-999,0.202,0.286
4,564248,5929332,5,3.64,11,0.39894228,-999,-999,-999,-999,-999,121,171
4,563504,5928807,5,-999,-999,0.39894228,-999,-999,-999,-999,-999,1818,6363
4,564567,5931032,6,9.09,24,0.39894228,-999,-999,-999,-999,-999,9.94,14.1
4,564212,5929354,6,4.68,11,0.39894228,-999,-999,-999,-999,-999,600,849
4,564208,5929284,7,0.867,11,0.39894228,-999,-999,-999,-999,-999,28.8,40.8
4,564214,5929281,9,1.39,11,0.39894228,-999,-999,-999,-999,-999,57.6,81.6
4,574980,5931925,10,17.6,20,0.39894228,-999,-999,-999,-999,-999,1863,2639
4,572531,5932190,15,3.46,20,0.39894228,-999,-999,-999,-999,-999,12,21.7
4,564224,5929335,18,0.277,11,0.39894228,-999,-999,-999,-999,-999,11.9,16.8
4,564143,5929324,19,1.06,11,0.39894228,-999,-999,-999,-999,-999,13.2,18.7
4,564253,5929345,23,1.73,11,0.39894228,-999,-999,-999,-999,-999,57.6,81.6
4,564147,5929330,26,0.763,11,0.39894228,-999,-999,-999,-999,-999,0.0792,0.112
4,564248,5929334,26,3.01,11,0.39894228,-999,-999,-999,-999,-999,20,28.3
4,564249,5929336,26,1.49,11,0.39894228,-999,-999,-999,-999,-999,117,166
4,564250,5929338,26,2.95,11,0.39894228,-999,-999,-999,-999,-999,318,451
4,564252,5929342,26,2.95,11,0.39894228,-999,-999,-999,-999,-999,318,451
