,RLOIid,riverName,RLOIid_upstream,RLOIid_downstream
788,3278,Dorset Frome,,3277
789,5232,River Goyt,,5096
790,7299,Beverley Brook,7298,
791,7102,River Thames,7101,7109
792,8075,Oulton Beck,9400,
793,5113,Cockers Dyke,,
794,3316,Groundwater Levels,,
795,1036,River Cray,1037,
796,7383,River Beam,,
797,3216,River Dart,,3406
798,9308,River Severn,2067,2004
799,8318,Charlton Brook,,
800,1049,River Itchen,9220,1056
801,3140,Sea Levels,,
802,6037,Brampton Branch,,6218
803,8242,River Don,8067,8259
804,7393,River Thames,7268,7392
805,3160,River Cober,3392,3338
806,7368,Salmon Brook,,7369
807,3305,River Stour,3306,3302
808,8310,Walsden Water,8211,
809,8042,River Aire,8320,9312
810,2178,River Teme,2005,2021
811,8192,River Gaunless,8361,8360
812,5018,River Ehen,5047,
813,5035,River Etherow,5154,
814,5021,River Mersey,,5101
815,2010,Bow Brook,2224,
816,8021,River Nidd,8160,8121
817,2079,River Leam,,2184
818,3293,River Brit,3281,3294
819,2200,Wymans Brook,2201,
820,8236,Bardsey Beck,,
821,7325,Kyd Brook,7324,7326
822,7340,River Beane,7337,7339
823,6040,East Glen River,6033,
824,5020,River Rawthey,,
825,3087,Doniford Stream,9261,3090
826,3279,Sea Levels,,
827,1076,Eridge Stream,,
828,8101,River Dearne,8015,8064
829,1109,River Ouse,9249,1026
830,3117,Coney Gut,,3108
831,8088,River Leven,8071,8364
832,3043,River Avon,3042,3416
833,3204,Aller Brook,,
834,8231,Thornton Beck,,
835,5171,River Eden,5081,5127
836,3130,Sea Levels,,
837,7356,Rye Meads Effluent Channel,,
838,3325,River Avon,3324,3374
839,7167,The Cut,,9118
840,8173,River Coquet,8008,8143
841,7322,Kyd Brook,,7323
842,7109,River Thames,7102,7110
843,5182,River Irt,,
844,3149,River Strat,,
845,6127,River Crouch,6129,
846,3162,Sea Levels,,
847,7397,River Pinn,,7201
848,5116,Limey Water,,
849,2215,Cocker Beck,,
850,5139,St Johns Beck,5210,
851,6045,River Witham,6056,6050
852,8306,Farnley Beck,,
853,8147,River Rye,8033,8102
854,5017,River Kent,,5225
855,6029,River Welland,6028,6018
856,3232,River Coly,,
857,3340,River Tavy,3185,3196
858,5213,Lochinver Beck,,
859,7359,Rags Brook,,
860,8360,River Gaunless,8192,8068
861,6085,River Alde,,6298
862,7243,River Wey,7242,
863,6290,River Great Ouse,6254,9380
864,5081,River Eden,5058,5171
865,3185,River Tavy,,3340
866,7061,Bloxham Brook,,
867,3095,Sea Levels,,
868,9044,River Rother,9345,8253
869,8250,Earby Beck,8070,
870,2236,Barbourne Brook,2235,
871,3017,Woodbridge Brook,,
872,7222,Windle Brook,,
873,8296,River Rother,8091,8217
874,6152,River Ouzel,,6154
875,3125,River Torridge,3124,3126
876,8281,River Hull,8381,9385
877,8354,River Tyne,9006,8170
878,7292,Beverley Brook,,7293
879,5009,River Weaver,,5202
880,5146,River Ribble,5122,
881,7295,Pyl Brook,7294,7296
882,2104,River Trent,2099,2108
883,7298,Beverley Brook,7297,7299
884,1153,River Cuckmere,,
885,8045,Hodge Beck,,
