Source,Type,Target,Relation,Value
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Pickering,,54.2353496#-0.762520795
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Pickering,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Pickering,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Pickering,,3.0
Pickering,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/ELTONTOPICKERING532Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Rawcliffe,Instance,LocalDistribution,,
Rawcliffe,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Rawcliffe,,53.69452372#-0.911712604
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Rawcliffe,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Rawcliffe,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Rawcliffe,,3.0
Rawcliffe,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/CAWOODTOSUSWORTHTRENTWEST347Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Towton,Instance,LocalDistribution,,
Towton,Instance,NE,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Towton,,53.86343424#-1.305146694
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitArea,Data Property,Towton,,North
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasNTSExitZone,Data Property,Towton,,E03
http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLinepackZone,Data Property,Towton,,3.0
Towton,Instance,http://www.theworldavatar.com/kb/ontogasgrid/gas_network_system/YAFFORTHTOTOWTON733Connection,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#isConnectedToPipeline,
Bishop Auckland,Instance,LocalDistribution,,
Bishop Auckland,Instance,NO,http://www.theworldavatar.com/ontology/ontogasgrid/gas_network_components.owl#hasLocalDistributionZone,
http://www.bigdata.com/rdf/geospatial/literals/v1#lat-lon,Data Property,Bishop Auckland,,54.67138019#-1.566847585
